t im envp envn
-0.42661 -0.22155 0.74100 -0.74100
-0.42410 -0.21197 0.73819 -0.73819
-0.42160 -0.20262 0.73556 -0.73556
-0.41910 -0.19348 0.73310 -0.73310
-0.41660 -0.18454 0.73079 -0.73079
-0.41410 -0.17579 0.72863 -0.72863
-0.41159 -0.16722 0.72661 -0.72661
-0.40909 -0.15881 0.72472 -0.72472
-0.40659 -0.15056 0.72296 -0.72296
-0.40409 -0.14245 0.72131 -0.72131
-0.40158 -0.13448 0.71978 -0.71978
-0.39908 -0.12664 0.71836 -0.71836
-0.39658 -0.11893 0.71704 -0.71704
-0.39408 -0.11133 0.71582 -0.71582
-0.39158 -0.10383 0.71469 -0.71469
-0.38907 -0.09645 0.71365 -0.71365
-0.38657 -0.08916 0.71271 -0.71271
-0.38407 -0.08196 0.71184 -0.71184
-0.38157 -0.07485 0.71106 -0.71106
-0.37907 -0.06782 0.71035 -0.71035
-0.37656 -0.06087 0.70972 -0.70972
-0.37406 -0.05400 0.70917 -0.70917
-0.37156 -0.04719 0.70868 -0.70868
-0.36906 -0.04046 0.70826 -0.70826
-0.36656 -0.03378 0.70791 -0.70791
-0.36405 -0.02717 0.70763 -0.70763
-0.36155 -0.02061 0.70741 -0.70741
-0.35905 -0.01411 0.70725 -0.70725
-0.35655 -0.00766 0.70715 -0.70715
-0.35405 -0.00125 0.70711 -0.70711
-0.35154 0.00511 0.70713 -0.70713
-0.34904 0.01142 0.70720 -0.70720
-0.34654 0.01769 0.70733 -0.70733
-0.34404 0.02393 0.70751 -0.70751
-0.34153 0.03013 0.70775 -0.70775
-0.33903 0.03630 0.70804 -0.70804
-0.33653 0.04243 0.70838 -0.70838
-0.33403 0.04853 0.70877 -0.70877
-0.33153 0.05461 0.70921 -0.70921
-0.32902 0.06066 0.70970 -0.70970
-0.32652 0.06669 0.71024 -0.71024
-0.32402 0.07269 0.71083 -0.71083
-0.32152 0.07867 0.71147 -0.71147
-0.31902 0.08464 0.71215 -0.71215
-0.31651 0.09058 0.71289 -0.71289
-0.31401 0.09651 0.71366 -0.71366
-0.31151 0.10243 0.71449 -0.71449
